认证成功，开始演示批量操作...
批量订阅 1 只股票...
批量订阅请求已发送
2025/06/12 22:26:40 [数据流转] 收到数据: 股票=SZ000815, 类型=4, 数据结构=[]interface {}
2025/06/12 22:26:40 [数据流转] 逐笔成交数据为数组格式，长度: 1500
2025/06/12 22:26:40 [数据流转] 成功解析 1500 条逐笔成交记录
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 0
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 1
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 2
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 3
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1100, 时间: 09:25:00, 成交ID: 4
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 5
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 6
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1300, 时间: 09:25:00, 成交ID: 7
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 8
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1700, 时间: 09:25:00, 成交ID: 9
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 10
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 11
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2400, 时间: 09:25:00, 成交ID: 12
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2400, 时间: 09:25:00, 成交ID: 13
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 14
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 15
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 16
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1700, 时间: 09:25:00, 成交ID: 17
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 18
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1700, 时间: 09:25:00, 成交ID: 19
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 900, 时间: 09:25:00, 成交ID: 20
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 21
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1900, 时间: 09:25:00, 成交ID: 22
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 5000, 时间: 09:25:00, 成交ID: 23
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 24
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 25
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 26
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 27
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 28
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 29
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1600, 时间: 09:25:00, 成交ID: 30
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 31
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 32
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 33
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 34
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 700, 时间: 09:25:00, 成交ID: 35
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 36
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 37
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 38
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4100, 时间: 09:25:00, 成交ID: 39
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6000, 时间: 09:25:00, 成交ID: 40
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 41
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 42
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 43
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 44
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3700, 时间: 09:25:00, 成交ID: 45
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4000, 时间: 09:25:00, 成交ID: 46
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 47
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 48
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2000, 时间: 09:25:00, 成交ID: 49
